target,feature,weight
y,tarrago,-176.8371634081268
y,ary,-176.8371634081268
y,87,-179.20528433560685
y,social,-182.14793849868147
y,prateleira,-182.71263625094434
y,gasometro,-191.9226474831521
y,fapa,-195.4256941544676
y,fogao,-195.83801006391877
y,01,-198.26849613646255
y,flat,-198.7101401933396
y,prado,-200.21581562510255
y,azenha,-206.0220593932172
y,mesa,-210.60232054669723
y,disponiveis,-213.61514234135393
y,possibilidade,-214.53425206060638
y,zeladoria,-218.5515257777388
y,08,-220.47220700213074
y,despensa,-229.25849174369796
y,estilo,-229.4895540816069
y,recentemente,-229.5823648123478
y,ferreira,-230.53376189347182
y,83,-235.36404204431892
y,encol,-242.70820243567687
y,conta,-249.4792704070278
y,patio,-251.99094314863214
y,lojas,-254.6236528456502
y,decorflex,-255.97385882472008
y,dois,-256.74589521552844
y,passo,-265.00820349904825
y,correa,-267.8912399651599
y,aereo,-276.9183402942026
y,alem,-277.7555348696187
y,individual,-278.80998963980164
y,hall,-280.66441735877015
y,automovel,-285.0866224338679
y,79,-289.2869085658822
y,economica,-289.8360469030822
y,caixa,-289.8360469030822
y,solteiro,-291.27740624097714
y,todo,-294.4951142377686
y,velho,-297.364996568027
y,campos,-297.364996568027
y,nacional,-298.1306863264472
y,101,-298.54145477025304
y,pequeno,-306.11781461306964
y,andre,-306.1995722709107
y,jogos,-306.2436262516294
y,hospital,-307.80438369636613
y,benjamin,-308.3433213622193
y,deste,-313.56262008770136
y,102,-313.8722793140478
y,ciclovia,-318.0732504875632
y,entorno,-319.27825302536075
y,anda,-323.7335565765825
y,integrada,-327.7826244944281
y,grecia,-331.8070791381833
y,coronel,-332.34835306939203
y,aparicio,-333.4451691683935
y,74,-336.8238353915294
y,painel,-342.4839795109192
y,56,-344.65663528713685
y,frio,-346.34788157277944
y,carpete,-349.7494640280838
y,coletivo,-351.82606786890756
y,atacado,-353.2313488824875
y,uniritter,-353.8029502105028
y,ruas,-354.8718460878979
y,onibus,-358.36835123385026
y,25,-363.09531871899526
